date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:37	9052/9052	---M--	200	added ('OK')	image/gif	etag:%2258d-235c-4ad1518553b40%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/2_11.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/2_11.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:37	6316/6316	---M--	200	added ('OK')	image/gif	etag:%2258a-18ac-4ad1518647d80%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/2_2.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/2_2.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:37	5547/5547	---M--	200	added ('OK')	image/gif	etag:%22597-15ab-4ad1518647d80%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/2_3.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/2_3.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:37	5705/5705	---M--	200	added ('OK')	image/gif	etag:%22596-1649-4ad1518647d80%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/2_4.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/2_4.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:38	9151/9151	---M--	200	added ('OK')	image/gif	etag:%2258c-23bf-4ad1518647d80%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/2_5.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/2_5.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:38	5978/5978	---M--	200	added ('OK')	image/gif	etag:%225aa-175a-4ad151873bfc0%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/2_6.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/2_6.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:38	6066/6066	---M--	200	added ('OK')	image/gif	etag:%2259b-17b2-4ad151873bfc0%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/2_7.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/2_7.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:39	5634/5634	---M--	200	added ('OK')	image/gif	etag:%225a7-1602-4ad151873bfc0%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/2_8.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/2_8.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:39	4686/4686	---M--	200	added ('OK')	image/gif	etag:%2259c-124e-4ad151873bfc0%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/2_9.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/2_9.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:39	4418/4418	---M--	200	added ('OK')	image/gif	etag:%225af-1142-4ad1518830200%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/3_2.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/3_2.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:39	3489/3489	---M--	200	added ('OK')	image/gif	etag:%22591-da1-4ad1518830200%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/3_3.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/3_3.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:39	5816/5816	---M--	200	added ('OK')	image/gif	etag:%22590-16b8-4ad1518830200%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/3_4.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/3_4.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:40	6072/6072	---M--	200	added ('OK')	image/gif	etag:%22584-17b8-4ad1518830200%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/3_5.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/3_5.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
